"2374750","St Joseph St and Milton St, South Bend, Indiana, ","Match","Non_Exact","S SAINT JOSEPH ST & MILTON ST, SOUTH BEND, IN, 46613","-86.247885681209,41.65483610977","",""
"2564105","1000 block of E 11th St, Pueblo, Colorado, ","No_Match"
"2680467","Peabody Pl and S B B King Blvd, Memphis, Tennessee, ","No_Match"
"2201535","Cindy Ln, Capitol Heights, Maryland, ","No_Match"
"2443849","3200 block of W 30th St, Chicago, Illinois, ","Match","Non_Exact","3200 W 30TH ST, CHICAGO, IL, 60623","-87.706169136324,41.839087453019","605033588","R"
"2849245","641 Burke Ave, Jonesboro, Arkansas, ","Match","Exact","641 BURKE AVE, JONESBORO, AR, 72401","-90.711079151899,35.841743108066","46909087","L"
"2539165","1200 block of Elfin Ave, Capitol Heights, Maryland, ","Match","Non_Exact","1200 ELFIN AVE, CAPITOL HEIGHTS, MD, 20743","-76.926993184714,38.874466188149","76313479","L"
"2437177","2100 block of New Bern Ave, New Bern, North Carolina, ","Match","Non_Exact","2100 NEW BERN AVE, NEW BERN, NC, 28562","-77.067493332087,35.096097277261","640599370","R"
"2741949","715 N Stateline Ave, Texarkana, Texas, ","Match","Non_Exact","715 N STATE LINE AVE, TEXARKANA, TX, 75501","-94.043167798577,33.427375945509","57275791","L"
"2137291","3000 block of South Blvd, Dallas, Texas, ","Match","Non_Exact","3000 SOUTH BLVD, DALLAS, TX, 75215","-96.766982641339,32.772038106862","102920621","R"
"2735271","1520 Slater Ave, Fayetteville, North Carolina, ","Match","Exact","1520 SLATER AVE, FAYETTEVILLE, NC, 28301","-78.89790020969,35.077900851612","64198975","R"
"2406852","W Russell St and N 8th St, Philadelphia, Pennsylvania, ","Match","Exact","W RUSSELL ST & N 8TH ST, PHILADELPHIA, PA, 19140","-75.142681232547,40.003848923806","",""
"2210480","1014 E 92nd St, Brooklyn, New York, ","Match","Exact","1014 E 92ND ST, BROOKLYN, NY, 11236","-73.908281034705,40.644151019717","59086349","R"
"2926808","6900 block of Norwood Ferry, Elkridge, Maryland, ","Match","Non_Exact","6900 NORWOOD FERRY, ELKRIDGE, MD, 21075","-76.747770412275,39.19142151966","618729143","R"
"3062297","50 block of Chestnut Dr, Elkton, Maryland, ","Match","Non_Exact","50 CHESTNUT DR, ELKTON, MD, 21921","-75.802187968246,39.659251514848","647262409","R"
"2622547","1004 Paddington Pl, Annapolis, Maryland, ","Match","Exact","1004 PADDINGTON PL, ANNAPOLIS, MD, 21403","-76.481807009731,38.956268274465","68176446","L"
"2232287","401 N La Cienega Blvd, West Hollywood, California, ","Match","Exact","401 N LA CIENEGA BLVD, WEST HOLLYWOOD, CA, 90048","-118.376641980088,34.078607247451","142718933","L"
