Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations,latitude,longitude
2809998,"January 23, 2024",California,Adelanto,Shadow Mountain Rd and Lessing Ave,6,0,0,0,5,,,
2808531,"January 21, 2024",Illinois,Joliet,200 block of Davis St,8,1,1,0,1,,41.509974844719,-88.086756296223
2807473,"January 21, 2024",Illinois,Tinley Park,7430 173rd Pl,4,0,0,0,1,,41.5757361581,-87.800078890212
2800844,"January 13, 2024",Texas,Richmond,17006 Cory Cornel Ln,4,0,1,0,0,,29.673051523173,-95.681839821537
2822517,"January 6, 2024",California,Reedley,1151 S Church Ave,4,0,0,0,1,,36.587407932952,-119.453296252503
2771255,"December 5, 2023",Texas,Austin,7104 Berkman Dr,6,3,0,0,1,,30.324071498268,-97.689650098112
2769819,"December 3, 2023",Texas,Dallas,9700 block of Royce Dr,4,1,1,0,0,,32.680029711376,-96.654966058586
2770132,"December 3, 2023",Washington,Vancouver,11511 NE 92nd St,4,0,1,0,0,,45.689211217131,-122.555086464543
2764540,"November 26, 2023",California,Los Angeles,836 W 110th St,4,0,0,0,1,,33.935526863827,-118.290233232318
2758871,"November 18, 2023",Tennessee,Memphis,3636 Field Lark Dr,4,1,1,0,0,,35.04817525989,-90.102305756344
2739575,"October 26, 2023",North Carolina,Clinton,10310 Garland Hwy,5,0,0,0,2,,34.865242790218,-78.343156578536
2738185,"October 25, 2023",Maine,Lewiston,24 Mollison Way,18,13,1,0,0,,44.124289815415,-70.200073555176
2709153,"September 17, 2023",Illinois,Romeoville,512 Concord Ave,5,0,1,0,0,,41.648199905084,-88.083318345928
2690239,"August 24, 2023",Ohio,Hartville,13305 Carnation Ave NW,4,0,1,0,0,,40.980747785416,-81.361517619931
2683213,"August 16, 2023",Oklahoma,Oklahoma City,7405 NW 5th Terrace,4,0,1,0,0,,35.473407106041,-97.642021210554
2653609,"July 15, 2023",Georgia,Hampton,92 Dogwood Lakes Dr,4,3,1,0,0,,33.387230164256,-84.265895728722
2643602,"July 4, 2023",Louisiana,Shreveport,2000 block of Pearl Ave,4,7,0,0,0,,,
2642071,"July 3, 2023",Pennsylvania,Philadelphia,5700 block of Warrington Ave,5,2,0,0,1,,39.938805974608,-75.22976036892
2629211,"June 18, 2023",Idaho,Kellogg,525 W Cameron Ave,4,0,0,0,1,,47.543458986051,-116.126999074899
2626402,"June 15, 2023",Tennessee,Sequatchie,246 Pine St,5,1,1,0,0,,35.115984128688,-85.599409827395
2609761,"May 26, 2023",Arizona,Mesa,Alma School Rd and Main St,4,1,0,0,1,,33.414915876195,-111.856619526379
2606205,"May 23, 2023",Texas,Texarkana,563 Lemon Acre,4,0,0,0,1,,33.433065680605,-94.146958139714
2590046,"May 6, 2023",Texas,Allen,820 W Stacy Rd,8,7,1,0,0,,33.130008922056,-96.660980694364
2587288,"May 2, 2023",Florida,Lake Wales,614 Dawnlight Dr,4,0,1,0,0,,27.912578415914,-81.585004616282
2586872,"April 30, 2023",Oklahoma,Henryetta,14360 Holly Rd,6,0,1,0,0,,,
2585718,"April 30, 2023",California,Mojave,15900 block of H St,4,0,0,0,1,,35.053018088375,-118.176450706383
2584064,"April 28, 2023",Texas,Cleveland,171 Walter Dr,5,0,0,0,1,,30.36223596946,-95.184950724875
2575621,"April 18, 2023",Maine,Bowdoin,1459 Augusta Rd,4,3,0,0,1,,44.039367869671,-69.942398717449
2573436,"April 15, 2023",Alabama,Dadeville,220 N Broadnax St,4,32,0,2,6,,32.829046151107,-85.763679728845
2568184,"April 10, 2023",Kentucky,Louisville,333 E Main St,5,5,1,0,0,,38.255653829346,-85.747188455204
